Input String,Response String,text
"Nah — can’t spell it. All right — Voldemort. Don’ make me say it again. Anyway, this — this wizard, about twenty years ago now, started lookin’ fer followers. Dark days, Harry. Didn’t know who ter trust, didn’t dare get friendly with strange wizards or witches . . . terrible things happened. He was takin’ over. ’ ’Course, some stood up to him — an’ he killed ’em. Reckon Dumbledore’s the only one You-Know-Who was afraid of. Didn’t dare try takin’ the school, not jus’ then, anyway. Now, yer mum an’ dad were as good a witch an’ wizard as I ever knew. Head boy an’ girl at Hogwarts in their day! Suppose the myst’ry is why You-Know-Who never tried to get ’em on his side before . . . probably knew they were too close ter Dumbledore ter want anythin’ ter do with the Dark Side. Maybe he thought he could persuade ’em . . . maybe he just wanted ’em outta the way. All anyone knows is, he turned up in the village where you was all living, on Halloween ten years ago. You was just a year old. He came ter yer house an’— an’— Took yeh from the ruined house myself, on Dumbledore’s orders. Brought yeh ter this lot . . .","Load of old tosh, Now, you listen here, boy, I accept there’s something strange about you, probably nothing a good beating wouldn’t have cured","###Prompt:
Answer as if you are Vernon responding to the previous line."
"Load of old tosh, Now, you listen here, boy, I accept there’s something strange about you, probably nothing a good beating wouldn’t have cured","I’m warning you, Dursley — I’m warning you — one more word . . . That’s better,","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"I’m warning you, Dursley — I’m warning you — one more word . . . That’s better,","But what happened to Vol-, sorry — I mean, You-Know-Who?","###Prompt:
Answer as if you are Harry responding to the previous line."
"But what happened to Vol-, sorry — I mean, You-Know-Who?","Codswallop, in my opinion. Dunno if he had enough human left in him to die. Some say he’s still out there, bidin’ his time, like, but I don’ believe it. People who was on his side came back ter ours. Some of ’em came outta kinda trances. Don’ reckon they could’ve done if he was comin’ back. Most of us reckon he’s still out there somewhere but lost his powers. Too weak to carry on. ’Cause somethin’ about you finished him, Harry. There was somethin’ goin’ on that night he hadn’t counted on — I dunno what it was, no one does — but somethin’ about you stumped him, all right.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Codswallop, in my opinion. Dunno if he had enough human left in him to die. Some say he’s still out there, bidin’ his time, like, but I don’ believe it. People who was on his side came back ter ours. Some of ’em came outta kinda trances. Don’ reckon they could’ve done if he was comin’ back. Most of us reckon he’s still out there somewhere but lost his powers. Too weak to carry on. ’Cause somethin’ about you finished him, Harry. There was somethin’ goin’ on that night he hadn’t counted on — I dunno what it was, no one does — but somethin’ about you stumped him, all right.","Hagrid, I think you must have made a mistake. I don’t think I can be a wizard.","###Prompt:
Answer as if you are Harry responding to the previous line."
"Hagrid, I think you must have made a mistake. I don’t think I can be a wizard.","Not a wizard, eh? Never made things happen when you was scared or angry?","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Not a wizard, eh? Never made things happen when you was scared or angry?",He’s going to Stonewall High and he’ll be grateful for it. I’ve read those letters and he needs all sorts of rubbish — spell books and wands and —,"###Prompt:
Answer as if you are Vernon responding to the previous line."
He’s going to Stonewall High and he’ll be grateful for it. I’ve read those letters and he needs all sorts of rubbish — spell books and wands and —,"If he wants ter go, a great Muggle like you won’t stop him, His name’s been down ever since he was born. He’s off ter the finest school of witchcraft and wizardry in the world. Seven years there and he won’t know himself. He’ll be with youngsters of his own sort, fer a change, an’ he’ll be under the greatest headmaster Hogwarts ever had, Albus Dumbled —","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"If he wants ter go, a great Muggle like you won’t stop him, His name’s been down ever since he was born. He’s off ter the finest school of witchcraft and wizardry in the world. Seven years there and he won’t know himself. He’ll be with youngsters of his own sort, fer a change, an’ he’ll be under the greatest headmaster Hogwarts ever had, Albus Dumbled —",I AM NOT PAYING FOR SOME CRACKPOT OLD FOOL TO TEACH HIM MAGIC TRICKS!,"###Prompt:
Answer as if you are Vernon responding to the previous line."
I AM NOT PAYING FOR SOME CRACKPOT OLD FOOL TO TEACH HIM MAGIC TRICKS!,"NEVER —  INSULT — ALBUS — DUMBLEDORE — IN — FRONT — OF — ME! Shouldn’ta lost me temper, but it didn’t work anyway. Meant ter turn him into a pig, but I suppose he was so much like a pig anyway there wasn’t much left ter do. Be grateful if yeh didn’t mention that ter anyone at Hogwarts, I’m — er — not supposed ter do magic, strictly speakin’. I was allowed ter do a bit ter follow yeh an’ get yer letters to yeh an’ stuff — one o’ the reasons I was so keen ter take on the job —","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"NEVER —  INSULT — ALBUS — DUMBLEDORE — IN — FRONT — OF — ME! Shouldn’ta lost me temper, but it didn’t work anyway. Meant ter turn him into a pig, but I suppose he was so much like a pig anyway there wasn’t much left ter do. Be grateful if yeh didn’t mention that ter anyone at Hogwarts, I’m — er — not supposed ter do magic, strictly speakin’. I was allowed ter do a bit ter follow yeh an’ get yer letters to yeh an’ stuff — one o’ the reasons I was so keen ter take on the job —",Why aren’t you supposed to do magic?,"###Prompt:
Answer as if you are Harry responding to the previous line."
Why aren’t you supposed to do magic?,"Oh, well — I was at Hogwarts meself but I — er — got expelled, ter tell yeh the truth. In me third year. They snapped me wand in half an’ everything. But Dumbledore let me stay on as gamekeeper. Great man, Dumbledore.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Oh, well — I was at Hogwarts meself but I — er — got expelled, ter tell yeh the truth. In me third year. They snapped me wand in half an’ everything. But Dumbledore let me stay on as gamekeeper. Great man, Dumbledore.",Why were you expelled?,"###Prompt:
Answer as if you are Harry responding to the previous line."
Why were you expelled?,"It’s gettin’ late and we’ve got lots ter do tomorrow, Gotta get up ter town, get all yer books an’ that. You can kip under that,Harry: It was a dream, I dreamed a giant called Hagrid came to tell me I was going to a school for wizards. When I open my eyes I’ll be at home in my cupboard. And there’s Aunt Petunia knocking on the door,  All right, I’m getting up.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"It’s gettin’ late and we’ve got lots ter do tomorrow, Gotta get up ter town, get all yer books an’ that. You can kip under that,Harry: It was a dream, I dreamed a giant called Hagrid came to tell me I was going to a school for wizards. When I open my eyes I’ll be at home in my cupboard. And there’s Aunt Petunia knocking on the door,  All right, I’m getting up.","Don’t do that. Pay him,","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Don’t do that. Pay him,",What? What?,"###Prompt:
Answer as if you are Harry responding to the previous line."
What? What?,"He wants payin’ fer deliverin’ the paper. Look in the pockets. Give him five Knuts,","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"He wants payin’ fer deliverin’ the paper. Look in the pockets. Give him five Knuts,",Knuts?,"###Prompt:
Answer as if you are Harry responding to the previous line."
Knuts?,"The little bronze ones. Best be off, Harry, lots ter do today, gotta get up ter London an’ buy all yer stuff fer school.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"The little bronze ones. Best be off, Harry, lots ter do today, gotta get up ter London an’ buy all yer stuff fer school.",Um — Hagrid?,"###Prompt:
Answer as if you are Harry responding to the previous line."
Um — Hagrid?,Mm?,"###Prompt:
Answer as if you are Hagrid responding to the previous line."
Mm?,I haven’t got any money — and you heard Uncle Vernon last night . . . he won’t pay for me to go and learn magic. But if their house was destroyed —,"###Prompt:
Answer as if you are Harry responding to the previous line."
I haven’t got any money — and you heard Uncle Vernon last night . . . he won’t pay for me to go and learn magic. But if their house was destroyed —,"They didn’ keep their gold in the house, boy! Nah, first stop fer us is Gringotts. Wizards’ bank. Have a sausage, they’re not bad cold — an’ I wouldn’ say no teh a bit o’ yer birthday cake, neither.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"They didn’ keep their gold in the house, boy! Nah, first stop fer us is Gringotts. Wizards’ bank. Have a sausage, they’re not bad cold — an’ I wouldn’ say no teh a bit o’ yer birthday cake, neither.",Wizards have banks?,"###Prompt:
Answer as if you are Harry responding to the previous line."
Wizards have banks?,Just the one.,"###Prompt:
Answer as if you are Hagrid responding to the previous line."
Just the one.,Goblins? Goblins? Goblins? Goblins? Goblins? Goblins? Goblins? Goblins? Goblins? Goblins?,"###Prompt:
Answer as if you are Harry responding to the previous line."
Goblins? Goblins? Goblins? Goblins? Goblins? Goblins? Goblins? Goblins? Goblins? Goblins?,"He usually gets me ter do important stuff fer him. Fetchin’ you — gettin’ things from Gringotts — knows he can trust me, see. Got everythin’?Hagrid: Got everythin’? Come on, then.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"He usually gets me ter do important stuff fer him. Fetchin’ you — gettin’ things from Gringotts — knows he can trust me, see. Got everythin’?Hagrid: Got everythin’? Come on, then.",How did you get here?,"###Prompt:
Answer as if you are Harry responding to the previous line."
How did you get here?,"Flew,","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Flew,","Flew? Of course not, Why would you be mad to try and rob Gringotts?","###Prompt:
Answer as if you are Harry responding to the previous line."
"Flew? Of course not, Why would you be mad to try and rob Gringotts?","Spells — enchantments, They say there’s dragons guardin’ the high-security vaults. And then yeh gotta find yer way — Gringotts is hundreds of miles under London, see. Deep under the Underground. Yeh’d die of hunger tryin’ ter get out, even if yeh did manage ter get yer hands on summat. Ministry o’ Magic messin’ things up as usual,","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Spells — enchantments, They say there’s dragons guardin’ the high-security vaults. And then yeh gotta find yer way — Gringotts is hundreds of miles under London, see. Deep under the Underground. Yeh’d die of hunger tryin’ ter get out, even if yeh did manage ter get yer hands on summat. Ministry o’ Magic messin’ things up as usual,",There’s a Ministry of Magic?,"###Prompt:
Answer as if you are Harry responding to the previous line."
There’s a Ministry of Magic?,"’Course, Bungler if ever there was one. So he pelts Dumbledore with owls every morning, askin’ fer advice.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"’Course, Bungler if ever there was one. So he pelts Dumbledore with owls every morning, askin’ fer advice.",But what does a Ministry of Magic do?,"###Prompt:
Answer as if you are Harry responding to the previous line."
But what does a Ministry of Magic do?,"Well, their main job is to keep it from the Muggles that there’s still witches an’ wizards up an’ down the country.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Well, their main job is to keep it from the Muggles that there’s still witches an’ wizards up an’ down the country.",What? Why?,"###Prompt:
Answer as if you are Harry responding to the previous line."
What? Why?,"What? Why? Blimey, Harry, everyone’d be wantin’ magic solutions to their problems. Nah, we’re best left alone.Hagrid: See that, Harry? Things these Muggles dream up, eh? Well, so they say, Crikey, I’d like a dragon.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"What? Why? Blimey, Harry, everyone’d be wantin’ magic solutions to their problems. Nah, we’re best left alone.Hagrid: See that, Harry? Things these Muggles dream up, eh? Well, so they say, Crikey, I’d like a dragon.",You’d like one?,"###Prompt:
Answer as if you are Harry responding to the previous line."
You’d like one?,"Wanted one ever since I was a kid — here we go.Hagrid: Still got yer letter, Good, There’s a list there of everything yeh need.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Wanted one ever since I was a kid — here we go.Hagrid: Still got yer letter, Good, There’s a list there of everything yeh need.",Can we buy all this in London?,"###Prompt:
Answer as if you are Harry responding to the previous line."
Can we buy all this in London?,"If yeh know where to go, I don’t know how the Muggles manage without magic,Hagrid: This is it, the Leaky Cauldron. It’s a famous place.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"If yeh know where to go, I don’t know how the Muggles manage without magic,Hagrid: This is it, the Leaky Cauldron. It’s a famous place.","The usual, Hagrid?","###Prompt:
Answer as if you are Tom responding to the previous line."
"The usual, Hagrid?","Can’t, Tom, I’m on Hogwarts business,","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Can’t, Tom, I’m on Hogwarts business,","Welcome back, Mr. Potter, welcome back.","###Prompt:
Answer as if you are Tom responding to the previous line."
"Welcome back, Mr. Potter, welcome back.","Doris Crockford, Mr. Potter, can’t believe I’m meeting you at last.
Strangers 1: So proud, Mr. Potter, I’m just so proud.
Strangers 2: Always wanted to shake your hand — I’m all of a flutter.","###Prompt:
Answer as if you are Doris responding to the previous line."
"Doris Crockford, Mr. Potter, can’t believe I’m meeting you at last.
Strangers 1: So proud, Mr. Potter, I’m just so proud.
Strangers 2: Always wanted to shake your hand — I’m all of a flutter.","Delighted, Mr. Potter, just can’t tell you, Diggle’s the name, Dedalus Diggle. Did you hear that? He remembers me!","###Prompt:
Answer as if you are Diggle responding to the previous line."
"Delighted, Mr. Potter, just can’t tell you, Diggle’s the name, Dedalus Diggle. Did you hear that? He remembers me!","P-P-Potter, c-can’t t-tell you how p-pleased I am to meet you.","###Prompt:
Answer as if you are Quirrel responding to the previous line."
"P-P-Potter, c-can’t t-tell you how p-pleased I am to meet you.","What sort of magic do you teach, Professor Quirrell?","###Prompt:
Answer as if you are Harry responding to the previous line."
"What sort of magic do you teach, Professor Quirrell?","N-not that you n-need it, eh, P-P-Potter? You’ll be g-getting all your equipment, I suppose? I’ve g-got to p-pick up a new b-book on vampires, m-myself.","###Prompt:
Answer as if you are Quirrel responding to the previous line."
"N-not that you n-need it, eh, P-P-Potter? You’ll be g-getting all your equipment, I suppose? I’ve g-got to p-pick up a new b-book on vampires, m-myself.","Must get on — lots ter buy. Come on, Harry.Hagrid: Told yeh, didn’t I? Told yeh you was famous. Even Professor Quirrell was tremblin’ ter meet yeh — mind you, he’s usually tremblin’.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Must get on — lots ter buy. Come on, Harry.Hagrid: Told yeh, didn’t I? Told yeh you was famous. Even Professor Quirrell was tremblin’ ter meet yeh — mind you, he’s usually tremblin’.",Is he always that nervous?,"###Prompt:
Answer as if you are Harry responding to the previous line."
Is he always that nervous?,"Oh, yeah.  Poor bloke. Scared of the students, scared of his own subject — now, where’s me umbrella? Right,Hagrid: Gringotts, Yeah, that’s a goblin, Like I said, yeh’d be mad ter try an’ rob it Morning, We’ve come ter take some money outta Mr. Harry Potter’s safe.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Oh, yeah.  Poor bloke. Scared of the students, scared of his own subject — now, where’s me umbrella? Right,Hagrid: Gringotts, Yeah, that’s a goblin, Like I said, yeh’d be mad ter try an’ rob it Morning, We’ve come ter take some money outta Mr. Harry Potter’s safe.","You have his key, sir?","###Prompt:
Answer as if you are Goblins responding to the previous line."
"You have his key, sir?","Got it here somewhere, Got it, That seems to be in order. An’ I’ve also got a letter here from Professor Dumbledore, It’s about the You-Know-What in vault seven hundred and thirteen.","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Got it here somewhere, Got it, That seems to be in order. An’ I’ve also got a letter here from Professor Dumbledore, It’s about the You-Know-What in vault seven hundred and thirteen.","Very well,”  I will have someone take you down to both vaults. Griphook!","###Prompt:
Answer as if you are Goblins responding to the previous line."
"Very well,”  I will have someone take you down to both vaults. Griphook!",What’s the You-Know-What in vault seven hundred and thirteen?,"###Prompt:
Answer as if you are Harry responding to the previous line."
What’s the You-Know-What in vault seven hundred and thirteen?,"Can’t tell yeh that, Very secret. Hogwarts business. Dumbledore’s trusted me. More’n my job’s worth ter tell yeh that.Harry: I never know, what’s the difference between a stalagmite and a stalactite?","###Prompt:
Answer as if you are Hagrid responding to the previous line."
"Can’t tell yeh that, Very secret. Hogwarts business. Dumbledore’s trusted me. More’n my job’s worth ter tell yeh that.Harry: I never know, what’s the difference between a stalagmite and a stalactite?","Stalagmite’s got an ‘m’ in it, An’ don’ ask me questions just now, I think I’m gonna be sick. All yours, Right, Vault seven hundred and thirteen now, please, and can we go more slowly?","###Prompt:
Answer as if you are Hagrid responding to the previous line."
